"","kommunenummer","navn","Y","expected","SMR","kommunenavn","smoking","re_u","re_v","RR","LL","UL"
"198",3812,"Siljan",18,14.9138107126593,1.20693499111673,"Siljan",10.7,198,198,1.14374198876641,1.05510408103863,1.23688744769831
"199",3813,"Bamble",96,88.1520031209151,1.08902800391637,"Bamble",6.9,199,199,1.07747613961633,0.992092312511266,1.1702790650383
"200",3814,"KragerÃ¸",87,68.8201380702077,1.26416485696739,"Kragerø",7.6,200,200,1.10174036773494,1.01545473256443,1.19760286869081
"201",3815,"Drangedal",31,26.4730797971128,1.1710008898693,"Drangedal",7.3,201,201,1.08107760268284,1.00671395833906,1.16074533565853
"202",3816,"Nome",52,42.5571731856056,1.22188566832696,"Nome",7.9,202,202,1.09009602925872,1.01364381158056,1.17250557709364
"203",3817,"Midt-Telemark",71,65.366674760539,1.08618038564908,"Midt-Telemark",12.1,203,203,1.14985747506322,1.0683255639311,1.23346294840017
"204",3818,"Tinn",50,37.3972926395079,1.33699517989113,"Tinn",7.4,204,204,1.08237252780802,1.01191542173046,1.15937941414893
"205",3819,"Hjartdal",11,10.7888451946576,1.01957158542296,"Hjartdal",6.2,205,205,1.05817081157699,0.969701782424227,1.15531034731687
"206",3820,"Seljord",19,19.0704081892871,0.996307987296957,"Seljord",5.1,206,206,1.03861412352731,0.971035680066837,1.11077221643022
"207",3821,"Kviteseid",20,15.791700363832,1.26648806266653,"Kviteseid",16.7,207,207,1.23146253660005,1.13060174172292,1.33585977492764
"208",3822,"Nissedal",12,9.23203135970697,1.29982227447513,"Nissedal",14.5,208,208,1.19305445644018,1.09647473074673,1.29411310705369
"209",3823,"Fyresdal",9,8.57155101627565,1.0499850007205,"Fyresdal",0,209,209,0.954445167507982,0.882212878849108,1.03456970543403
"210",3824,"Tokke",18,14.7756022676947,1.21822445365595,"Tokke",7.9,210,210,1.07445663113571,1.00116920183742,1.15254909815156
"211",3825,"Vinje",24,23.7477141216633,1.01062358579205,"Vinje",7.5,211,211,1.07319014032454,1.0049870494985,1.14450108914731
"212",4201,"RisÃ¸r",57,44.6468908553885,1.27668464495374,"Risør",8.8,212,212,1.11276487230367,1.02277866468811,1.21217248627079
"213",4202,"Grimstad",130,139.372646068216,0.932751179427073,"Grimstad",6.1,213,213,1.00831026097465,0.93377774043389,1.0852906014112
"214",4203,"Arendal",302,275.013346374746,1.09812852350984,"Arendal",8.8,214,214,1.07871732495697,1.00319172498851,1.15807293011182
"215",4204,"Kristiansand",632,654.446251596344,0.9657019173972,"Kristiansand",4.6,215,215,0.979356034407714,0.922577302755511,1.03763949859044
"216",4205,"Lindesnes",154,140.634099992758,1.09504024989622,"Lindesnes",8.4,216,216,1.05362592609127,0.977046040255251,1.13424009901415
"217",4206,"Farsund",68,62.0864244951344,1.09524748047504,"Farsund",12.2,217,217,1.11162982297959,1.00348656518351,1.22480067504364
"218",4207,"Flekkefjord",66,59.1260518329778,1.11625921153065,"Flekkefjord",8.4,218,218,1.05221199485882,0.967082663701486,1.14180639277493
"219",4211,"Gjerstad",16,15.9180252785848,1.00514980470131,"Gjerstad",3.9,219,219,1.02842258065187,0.94665311759598,1.11915851347549
"220",4212,"VegÃ¥rshei",16,12.4737226533615,1.28269646877937,"Vegårshei",5.6,220,220,1.05043532730106,0.96854484926247,1.14091202034961
"221",4213,"Tvedestrand",49,38.1116263795266,1.28569690288323,"Tvedestrand",13.9,221,221,1.17749666846139,1.08291470209308,1.2773253119786
"222",4214,"Froland",33,33.9774375803257,0.971232745906311,"Froland",11.4,222,222,1.10708301306659,1.02803091189591,1.18812179303589
"223",4215,"Lillesand",67,66.6990241246342,1.00451244796031,"Lillesand",5.5,223,223,1.00129688317264,0.918541148704974,1.08859971108489
"224",4216,"Birkenes",30,30.9259092767643,0.970060402477481,"Birkenes",6.8,224,224,1.02192168334394,0.950096250090242,1.09747653664602
"225",4217,"Ã…mli",14,11.7745372987212,1.18900638257102,"Åmli",4.1,225,225,1.01441275562975,0.941307593156172,1.09436961855272
"226",4218,"Iveland",8,7.51901041684166,1.06396979874918,"Iveland",8.8,226,226,1.05394336253712,0.959514474491717,1.15303986669379
"227",4219,"Evje og Hornnes",26,23.1009257105932,1.12549602235539,"Evje og Hornnes",5.4,227,227,1.00896225663834,0.94049508637728,1.08255105031055
"228",4220,"Bygland",11,7.48039664829147,1.47051025730199,"Bygland",13,228,228,1.13851255973348,1.05609500327044,1.22420551407692
"229",4221,"Valle",9,7.69028941193219,1.17030706101069,"Valle",0,229,229,0.945244582176011,0.87286340211975,1.0253096074032
"230",4222,"Bykle",5,5.42866390742941,0.92103694118128,"Bykle",0,230,230,0.94253759327108,0.87656947033291,1.01480671739889
"231",4223,"Vennesla",79,85.3753201131834,0.925325959484175,"Vennesla",8,231,231,1.0321241730591,0.95519152347028,1.11118221394976
"232",4224,"Ã…seral",6,5.67396233225297,1.0574620782894,"Åseral",0,232,232,0.93375845506187,0.85624599751588,1.01893327375154
"233",4225,"Lyngdal",61,61.6163535709291,0.989996915831451,"Lyngdal",8.2,233,233,1.04704478606361,0.969335131647775,1.12801410989097
"234",4226,"HÃ¦gebostad",12,10.4525300215339,1.14804740816606,"Hægebostad",7.7,234,234,1.04486949588648,0.95035798983732,1.14557249185099
"235",4227,"Kvinesdal",42,37.9157698920205,1.10771850656365,"Kvinesdal",11.1,235,235,1.09634481261822,1.0150243959336,1.18087947126615
"236",4228,"Sirdal",11,11.5800153146245,0.949912387948919,"Sirdal",4.7,236,236,0.990738204896681,0.927792365323233,1.05800615061967
"237",4601,"Bergen",1641,1677.33710521288,0.978336432730221,"Bergen",2.7,237,237,0.987017488176481,0.944816716296017,1.0301458902805
"238",4602,"Kinn",117,105.337607141711,1.11071442739913,"Kinn",6.2,238,238,1.05870759489423,0.974116446076338,1.14964241690518
"239",4611,"Etne",31,26.9588451740444,1.14990088781126,"Etne",3.6,239,239,1.03162073788413,0.953642064182307,1.11818020258511
"240",4612,"Sveio",36,33.4433601694951,1.07644685873511,"Sveio",7.7,240,240,1.113972927776,0.996294462434024,1.24184240065278
"241",4613,"BÃ¸mlo",81,71.1362198245237,1.13866044892191,"Bømlo",7,241,241,1.06960855684509,0.9509431762273,1.20223967714895
"242",4614,"Stord",116,111.904280055807,1.03660020816139,"Stord",4,242,242,1.00505217421708,0.901820919911898,1.11708461562804
"243",4615,"Fitjar",22,18.7116992476843,1.17573501523239,"Fitjar",6.8,243,243,1.03747899231336,0.927904543437934,1.15736298977609
"244",4616,"Tysnes",25,19.7328116085372,1.2669253878238,"Tysnes",11.8,244,244,1.13569968770454,0.992399960521947,1.29508233795357
"245",4617,"Kvinnherad",104,86.6076938617768,1.20081710253111,"Kvinnherad",6,245,245,1.076766875288,0.998250683839579,1.16357833187004
"246",4618,"Ullensvang",97,76.7102805540353,1.26449804771177,"Ullensvang",4.7,246,246,1.05292212682623,0.984722199914308,1.12965994769312
"247",4619,"Eidfjord",8,6.01104596297733,1.33088318560078,"Eidfjord",0,247,247,0.96874409154789,0.894885008375516,1.05174441015409
"248",4620,"Ulvik",10,7.73199257518572,1.29332767753722,"Ulvik",0,248,248,0.97218430918187,0.892147720697086,1.06279893597101
"249",4621,"Voss",116,103.561064866674,1.12011208217432,"Voss",3.9,249,249,1.0387036479258,0.965707043094477,1.11939464867622
"250",4622,"Kvam",66,56.9485274967252,1.15894129139327,"Kvam",3.6,250,250,1.03333690891313,0.958890629316956,1.11544431946446
"251",4623,"Samnanger",20,15.8946100562214,1.25828818255102,"Samnanger",3.1,251,251,1.01631203489833,0.938020082410995,1.10223210575529
"252",4624,"BjÃ¸rnafjorden",139,145.995598261,0.952083498788138,"Bjørnafjorden",4.3,252,252,1.02169967432581,0.948545191919916,1.09845877167613
"253",4625,"Austevoll",36,31.5413613727484,1.14135847132787,"Austevoll",3.9,253,253,1.01747552357118,0.894663723468364,1.1577018273817
"254",4626,"Ã˜ygarden",197,214.331109468388,0.919138619160908,"Øygarden",4.2,254,254,0.961589368732787,0.870286204523942,1.05589706770864
"255",4627,"AskÃ¸y",146,165.959389281234,0.879733292779167,"Askøy",4.2,255,255,0.950026941397187,0.852873268527903,1.04949441013515
"256",4628,"Vaksdal",36,27.2904784936009,1.31914139975381,"Vaksdal",8.1,256,256,1.09863837437307,1.02123386793776,1.18157708270408
"257",4629,"Modalen",0,2.41306752958005,0,"Modalen",0,257,257,0.966930311274977,0.888039190287306,1.05361241261758
"258",4630,"OsterÃ¸y",55,50.5187845904363,1.08870394341221,"Osterøy",6.2,258,258,1.07107858592938,0.949254553585306,1.20702570510989
"259",4631,"Alver",178,173.741267464069,1.0245119228039,"Alver",4.5,259,259,1.03129138865728,0.942538667953852,1.12634861614101
"260",4632,"Austrheim",22,18.8987110770181,1.16410055216693,"Austrheim",13.2,260,260,1.17344888496106,1.01225665476899,1.35038164712402
"261",4633,"Fedje",7,4.09470292094096,1.70952572998663,"Fedje",0,261,261,0.957428779002321,0.832336190434711,1.10371601627481
"262",4634,"Masfjorden",14,11.9453427887762,1.17200487650755,"Masfjorden",9.2,262,262,1.10763282041477,1.00801165418961,1.21434339878166
"263",4635,"Gulen",16,15.3241463341692,1.04410383789691,"Gulen",5.6,263,263,1.05026408527447,0.94218580317731,1.16950595015741
"264",4636,"Solund",8,5.5097808453494,1.45196337650208,"Solund",0,264,264,0.974010493603776,0.86347109164703,1.10098850537392
"265",4637,"Hyllestad",9,9.57801824792496,0.939651582095264,"Hyllestad",0,265,265,0.967439567964167,0.865934395392787,1.08206144670196
"266",4638,"HÃ¸yanger",32,28.273570824264,1.13179902881379,"Høyanger",4.8,266,266,1.03804838662118,0.963083533078392,1.11872353335878
"267",4639,"Vik",22,18.6970317135045,1.17665736129173,"Vik",0,267,267,0.974505255111775,0.899130560038083,1.05862987335203
"268",4640,"Sogndal",70,72.1453275894003,0.970263804170244,"Sogndal",1.1,268,268,0.97436463920684,0.894540468334565,1.06129083555742
"269",4641,"Aurland",11,11.5054022963964,0.956072609772657,"Aurland",6.1,269,269,1.05830067775256,0.979207815086416,1.14390095369261
"270",4642,"LÃ¦rdal",18,14.0004411189509,1.28567377606662,"Lærdal",4.3,270,270,1.02306428947616,0.952049679513097,1.10091661717895
"271",4643,"Ã…rdal",43,35.9688885791465,1.19547758350615,"Årdal",7.6,271,271,1.07491147767081,0.9870199755583,1.17037833280475
"272",4644,"Luster",31,34.3240441356782,0.903156978748229,"Luster",2.4,272,272,0.986766198279781,0.919919548575306,1.05817226676835
"273",4645,"Askvoll",26,21.8622739570731,1.1892632967207,"Askvoll",7.9,273,273,1.08832995261237,0.982375657116715,1.20429750791465
"274",4646,"Fjaler",23,18.7625522973849,1.22584601686657,"Fjaler",7.1,274,274,1.07542908363443,0.982573173738339,1.17618298016401
"275",4647,"Sunnfjord",119,130.277797399231,0.913432698246571,"Sunnfjord",3.8,275,275,1.0074081043686,0.939332896838635,1.07781101391992
"276",4648,"Bremanger",35,26.3654090343702,1.32749694701773,"Bremanger",3.9,276,276,1.03692221058326,0.930415943838474,1.1573070282696
"277",4649,"Stad",55,61.9128878842607,0.888344929133599,"Stad",4.2,277,277,1.00384438423013,0.920362455562253,1.09179633040665
"278",4650,"Gloppen",40,38.7439220325603,1.03242000039088,"Gloppen",3.8,278,278,1.01827339847964,0.933742818859375,1.11008516026491
"279",4651,"Stryn",47,45.4562650019407,1.03396088521557,"Stryn",3.6,279,279,1.00396100381639,0.934590047338794,1.07800455015867
"280",5001,"Trondheim",1036,1170.97446129203,0.884733215152188,"Trondheim",2.5,280,280,0.9088933536225,0.862368846085874,0.95593896500775
"281",5006,"Steinkjer",176,160.265110239061,1.0981803821023,"Steinkjer",3.9,281,281,1.03275576473784,0.960140861898132,1.11106582429678
"282",5007,"Namsos",101,96.95747748723,1.04169376738687,"Namsos",3.5,282,282,1.02230317993249,0.943355877903049,1.10724717290866
"283",5014,"FrÃ¸ya",32,31.1350045320406,1.02778208903324,"Frøya",9.1,283,283,1.07107589229809,0.939328475838086,1.21363365088031
"284",5020,"Osen",7,7.08810424889686,0.987570125127524,"Osen",0,284,284,0.974053409305248,0.87458285368745,1.08626657894065
"285",5021,"Oppdal",44,45.4618556395784,0.967844347332234,"Oppdal",6.3,285,285,1.03807328789198,0.969927913145857,1.10969529122969
"286",5022,"Rennebu",23,17.2122086516527,1.33626081727702,"Rennebu",0,286,286,0.946675830798179,0.874276615341491,1.02758005705485
"287",5025,"RÃ¸ros",41,37.8034614362582,1.08455676920304,"Røros",0,287,287,0.941801412942525,0.863416825832352,1.02910363577962
"288",5026,"HoltÃ¥len",13,14.3120315148021,0.908326675116309,"Holtålen",6.3,288,288,1.02036354657136,0.941688012508113,1.1039763114944
"289",5027,"Midtre Gauldal",39,40.4896464033667,0.963209201964212,"Midtre Gauldal",3.7,289,289,0.982130125245712,0.916237561484198,1.05287922621667
"290",5028,"Melhus",87,102.090181998874,0.852187725563659,"Melhus",4.5,290,290,0.967374792669937,0.898427021838896,1.03840248499884
"291",5029,"Skaun",39,47.7542526541328,0.816681192405277,"Skaun",3.8,291,291,0.962688163574762,0.870055166037746,1.05942442537531
"292",5031,"Malvik",71,79.9970815451445,0.887532377789717,"Malvik",2.7,292,292,0.941018191463313,0.864990072611896,1.02092174305512
"293",5032,"Selbu",27,27.7113156779663,0.974331219555488,"Selbu",5,293,293,0.988224340694029,0.922645484562091,1.05862209944662
"294",5033,"Tydal",8,6.04450581076209,1.32351597474788,"Tydal",0,294,294,0.932840993115073,0.854936135408496,1.01878505978484
"295",5034,"MerÃ¥ker",18,16.2754032087193,1.1059633834667,"Meråker",9,295,295,1.06304323014724,0.978635463273689,1.15158881400907
"296",5035,"StjÃ¸rdal",142,147.51329019762,0.96262512896137,"Stjørdal",2.9,296,296,0.966184571864121,0.898059457838989,1.03835700714857
"297",5036,"Frosta",20,17.3807365732443,1.15069921897256,"Frosta",2.9,297,297,0.983050323120155,0.855858814454814,1.12450590523807
"298",5037,"Levanger",116,124.467005523295,0.93197389550992,"Levanger",4.4,298,298,0.990179361809402,0.91107952607224,1.07317449849799
"299",5038,"Verdal",92,92.792188215767,0.991462770401266,"Verdal",5.7,299,299,1.02827387700852,0.955584622107528,1.10461563624464
"300",5041,"SnÃ¥sa",18,14.6294635955912,1.23039371077314,"Snåase Snåsa",0,300,300,0.96901392584665,0.887291379228093,1.05958079620083
"301",5042,"Lierne",13,9.36819987988046,1.38767321008162,"Lierne",0,301,301,0.97214969088419,0.881140856753833,1.07437529598886
"302",5043,"RÃ¸yrvik",5,3.4233174668763,1.46057152115734,"Raarvihke Røyrvik",0,302,302,0.967982537276071,0.879290430297575,1.06672228742905
"303",5044,"Namsskogan",8,6.39622155931411,1.25073841264152,"Namsskogan",0,303,303,0.96794478723162,0.882218354489861,1.06287213675889
"304",5045,"Grong",17,16.5896672816865,1.02473423434878,"Grong",6.2,304,304,1.05967226891149,0.97100876602512,1.15528201686361
"305",5046,"HÃ¸ylandet",9,8.77432961434873,1.0257193877561,"Høylandet",0,305,305,0.966328401608034,0.883145155724688,1.05767060407845
"306",5047,"Overhalla",25,24.1291532979438,1.03609105928016,"Overhalla",2,306,306,0.998526490506523,0.915471720202792,1.08938208318495
"307",5049,"Flatanger",9,7.66790472023998,1.17372350444625,"Flatanger",0,307,307,0.975766300412124,0.866362668885301,1.10077383995393
"308",5052,"Leka",5,4.16794206875131,1.1996327965993,"Leka",0,308,308,0.962847773511653,0.855127519737997,1.08384729560534
"309",5053,"InderÃ¸y",47,43.1527605369313,1.08915395945008,"Inderøy",4.9,309,309,1.0395961991524,0.94902758583927,1.13853604217127
"310",5054,"Indre Fosen",73,66.7232421600049,1.09407153544702,"Indre Fosen",4.6,310,310,1.04383041895708,0.954917180550742,1.14075961159408
"311",5055,"Heim",43,40.8804253415937,1.05184815570521,"Heim",4.6,311,311,1.01409184220814,0.927847626481507,1.10825705602005
"312",5056,"Hitra",37,32.4989031537053,1.13849996182968,"Hitra",3.8,312,312,1.00673928972716,0.887027076480258,1.14182122735782
"313",5057,"Ã˜rland",70,67.6269123265164,1.03509087716479,"Ørland",5.1,313,313,1.04919163014876,0.944718993707136,1.1642595497201
"314",5058,"Ã…fjord",36,30.0914404095075,1.19635349820694,"Åfjord",5.1,314,314,1.05291226154942,0.96387106135532,1.1498795678898
"315",5059,"Orkland",120,116.894282025741,1.02656860472932,"Orkland",3.7,315,315,0.989607130393566,0.921744897536803,1.06268547442384
"316",5060,"NÃ¦rÃ¸ysund",59,61.0161899107887,0.966956476408368,"Nærøysund",11.8,316,316,1.13466025473985,1.029322288677,1.24509146571414
"317",5061,"Rindal",15,13.9421899845583,1.07587115199358,"Rindal",0,317,317,0.947501804449641,0.871856950235061,1.03147131904694
"318",5401,"TromsÃ¸",401,429.459783899222,0.933731201462391,"Tromsø",4.6,318,318,0.967626747613154,0.8958267985477,1.04221756085506
"319",5402,"Harstad",156,154.724751661919,1.00824204482078,"Harstad Hárstták",4.4,319,319,1.01335564496331,0.918937944834288,1.114539111941
"320",5403,"Alta",103,116.946970421843,0.880741071174957,"Alta",7.7,320,320,0.978814779760981,0.888077662806118,1.07369959625451
"321",5404,"VardÃ¸",17,12.7121133972803,1.33730713916043,"Vardø",12.5,321,321,1.08683386319815,0.943336516615673,1.24479491204851
"322",5405,"VadsÃ¸",38,36.359435823589,1.04512072696537,"Vadsø",6.2,322,322,0.98482314772643,0.874685701528675,1.10451278926137
"323",5406,"Hammerfest",61,68.2876436232855,0.893280200683327,"Hammerfest",6.1,323,323,0.957486331953321,0.859529350044333,1.06111146714915
"324",5411,"KvÃ¦fjord",19,18.4573647685282,1.02939938817252,"Kvæfjord",7.8,324,324,1.0652604476638,0.965725432958477,1.17167828655191
"325",5412,"Tjeldsund",34,30.052624781132,1.13134876729125,"Tjeldsund",12.9,325,325,1.15036520852695,1.04848852770542,1.25749668509226
"326",5413,"Ibestad",13,10.6883086545684,1.21628224073072,"Ibestad",16.7,326,326,1.20631566655543,1.04192712826547,1.38502105775646
"327",5414,"Gratangen",10,8.04852485616993,1.2424637034368,"Gratangen",12.8,327,327,1.15092831140267,1.03563611598959,1.27493012836538
"328",5415,"Lavangen",8,7.50053054460661,1.066591216771,"Loabák Lavangen",13.5,328,328,1.15758420684911,1.04452866172738,1.27832914367169
"329",5416,"Bardu",25,25.349725904033,0.986203957180564,"Bardu",4.4,329,329,1.00789020454369,0.918933439508149,1.10480112469559
"330",5417,"Salangen",17,14.430658764992,1.17804739733997,"Salangen",16.7,330,330,1.20936231527075,1.08013554372673,1.34752093772969
"331",5418,"MÃ¥lselv",45,42.909835853723,1.0487106068968,"Målselv",6.3,331,331,1.0247424648529,0.937711437006126,1.11840495270137
"332",5419,"SÃ¸rreisa",24,22.067944232108,1.08755032854764,"Sørreisa",10.1,332,332,1.09221487609975,0.990475585902863,1.20137964457192
"333",5420,"DyrÃ¸y",11,7.68771238972165,1.43085477738564,"Dyrøy",0,333,333,0.951766610675851,0.838314455558949,1.08170077291959
"334",5421,"Senja",100,95.3254145229556,1.04903818672531,"Senja",9.7,334,334,1.07634642587532,0.969752215672053,1.19023777048359
"335",5422,"Balsfjord",50,38.3843706492743,1.30261351571607,"Balsfjord",11.4,335,335,1.10051040585857,0.996669598878189,1.21185989479578
"336",5423,"KarlsÃ¸y",21,15.9455730457244,1.31697995047164,"Karlsøy",8.9,336,336,1.05345208406357,0.916523097513269,1.20407630904419
"337",5424,"Lyngen",22,20.2230634936606,1.08786683119976,"Lyngen",17.8,337,337,1.18301544770725,1.04332628152448,1.33035837968003
"338",5425,"Storfjord",12,11.5088435860745,1.04267643488698,"Storfjord Omasvuotna Omasvuono",4.8,338,338,0.985388039293124,0.89889036262703,1.07893643988879
"339",5426,"KÃ¥fjord",16,15.0027971125063,1.06646779797231,"Gáivuotna Kåfjord Kaivuono",9.1,339,339,1.0375673913576,0.924443933741666,1.15922912718753
"340",5427,"SkjervÃ¸y",20,19.537276110248,1.02368415572063,"Skjervøy",11.6,340,340,1.06069790433957,0.90907417918837,1.22575100099675
"341",5428,"Nordreisa",35,30.7131712359957,1.13957623363165,"Nordreisa Ráisa Raisi",12.1,341,341,1.07036015746903,0.957418332154563,1.19011788387363
"342",5429,"KvÃ¦nangen",13,8.8571430873543,1.46774189733489,"Kvænangen",0,342,342,0.891295708933645,0.792788729034289,0.999629497228078
"343",5430,"Kautokeino",15,16.9169960120652,0.886682244844298,"Guovdageaidnu Kautokeino",6.9,343,343,0.978641293126427,0.877804987952358,1.08619491636149
"344",5432,"Loppa",10,6.87638016945631,1.45425351035975,"Loppa",9.7,344,344,1.02162696677774,0.906052071961531,1.14513675295497
"345",5433,"Hasvik",6,6.48995461417752,0.924505694830716,"Hasvik",17.6,345,345,1.13761127366076,0.998443633592468,1.28461373984517
"346",5434,"MÃ¥sÃ¸y",8,8.82653907012639,0.90635751300033,"Måsøy",9.8,346,346,1.01745015460664,0.901028700171386,1.14146443975355
"347",5435,"Nordkapp",24,19.8111611603387,1.211438330432,"Nordkapp",9.4,347,347,1.02054929598172,0.904249147493211,1.14541367051352
"348",5436,"Porsanger",23,24.7987684326646,0.927465412746252,"Porsanger Porsá?gu Porsanki",13.2,348,348,1.06911584047437,0.960247046272945,1.18387084163322
"349",5437,"Karasjok",14,16.03452381753,0.873116043813804,"Kárášjohka Karasjok",14.6,349,349,1.09063671736177,0.973247483845411,1.2142111617954
"350",5438,"Lebesby",9,8.56119348626615,1.05125529687394,"Lebesby",0,350,350,0.889154672454985,0.786452529635456,1.00209741057305
"351",5439,"Gamvik",8,7.17590685364981,1.11484167271918,"Gamvik",13.6,351,351,1.08712557797043,0.94852429842767,1.23649204350365
"352",5440,"BerlevÃ¥g",8,6.52689849287446,1.22569701501161,"Berlevåg",0,352,352,0.898842447644301,0.786783037431938,1.02390569472642
"353",5441,"Tana",17,18.6848859460199,0.909826265416474,"Deatnu Tana",11.3,353,353,1.05002803334338,0.941932115639823,1.16479543546818
"354",5442,"Nesseby",7,6.64389633704887,1.0535986181731,"Unjárga Nesseby",0,354,354,0.896785881602394,0.785910398875644,1.0198527801289
"355",5443,"BÃ¥tsfjord",14,12.8716318608283,1.08766317677292,"Båtsfjord",9,355,355,1.02534145426688,0.905245193677458,1.15603366351426
"356",5444,"SÃ¸r-Varanger",60,61.2742256060838,0.979204541657115,"Sør-Varanger",6,356,356,0.979994257660577,0.844841183229521,1.12855163824249
