kommunenummer,komunenavn,lungekreft,smoke,snuff
4212,Vegårshei,88,0.16,0.13
4213,Tvedestrand,86,0.16,0.13
4214,Froland,91,0.17,0.14
4215,Lillesand,70,0.17,0.13
4216,Birkenes,87,0.17,0.13
4217,Åmli,58,0.47,0.32
4218,Iveland,60,0.44,0.31
4219,Evje og Hornnes,92,0.16,0.13
4220,Bygland,95,0.46,0.33
4221,Valle,39,0.47,0.34
4222,Bykle,0,0.15,0.19
4223,Vennesla,92,0.17,0.14
4224,Åseral,124,0.12,0.19
4225,Lyngdal,74,0.28,0.21
4226,Hægebostad,0,0.42,0.32
4227,Kvinesdal,76,0.16,0.13
4228,Sirdal,70,0.45,0.33
1101,Eigersund,73,0.17,0.13
1103,Stavanger,70,0.16,0.11
1106,Haugesund,78,0.15,0.17
1108,Sandnes,72,0.29,0.24
1111,Sokndal,40,0.16,0.13
1112,Lund,46,0.16,0.13
1114,Bjerkreim,0,0.17,0.13
1119,Hå,53,0.17,0.13
1120,Klepp,49,0.17,0.14
1121,Time,51,0.17,0.14
1122,Gjesdal,75,0.17,0.14
1124,Sola,67,0.14,0.17
1127,Randaberg,61,0.17,0.13
1130,Strand,63,0.17,0.14
1133,Hjelmeland,58,0.15,0.12
1134,Suldal,46,0.16,0.12
1135,Sauda,73,0.16,0.13
1144,Kvitsøy,0,0.12,0.16
1145,Bokn,0,0.10,0.19
1146,Tysvær,68,0.17,0.14
1149,Karmøy,73,0.15,0.17
1151,Utsira,0,0.22,0.14
1160,Vindafjord,54,0.16,0.13
4601,Bergen,60,0.20,0.17
4602,Kinn,73,0.16,0.23
4611,Etne,57,0.16,0.23
4612,Sveio,71,0.16,0.24
4613,Bømlo,59,0.16,0.24
4614,Stord,55,0.16,0.25
4615,Fitjar,53,0.16,0.24
4616,Tysnes,41,0.17,0.22
4617,Kvinnherad,59,0.16,0.23
4618,Ullensvang,69,0.16,0.18
4619,Eidfjord,71,0.16,0.16
4620,Ulvik,0,0.13,0.13
4621,Voss,49,0.16,0.20
4622,Kvam,61,0.16,0.22
4623,Samnanger,63,0.16,0.23
4624,Bjørnafjorden,52,0.16,0.20
4625,Austevoll,72,0.15,0.24
4626,Øygarden,70,0.16,0.22
4627,Askøy,63,0.16,0.18
4628,Vaksdal,67,0.17,0.23
4629,Modalen,0,0.07,0.12
4630,Osterøy,67,0.16,0.24
4631,Alver,58,0.16,0.24
4632,Austrheim,75,0.16,0.22
4633,Fedje,0,0.15,0.14
4634,Masfjorden,0,0.12,0.14
4635,Gulen,51,0.16,0.21
4636,Solund,0,0.14,0.15
4637,Hyllestad,59,0.13,0.13
4638,Høyanger,46,0.17,0.23
4639,Vik,54,0.16,0.21
4640,Sogndal,52,0.15,0.21
4641,Aurland,61,0.12,0.14
4642,Lærdal,41,0.16,0.22
4643,Årdal,77,0.16,0.22
4644,Luster,49,0.16,0.24
4645,Askvoll,50,0.16,0.22
4646,Fjaler,78,0.16,0.23
4647,Sunnfjord,43,0.16,0.25
4648,Bremanger,75,0.16,0.20
4649,Stad,58,0.16,0.24
4650,Gloppen,49,0.16,0.23
4651,Stryn,43,0.15,0.22
1505,Kristiansund,81,0.16,0.17
1506,Molde,51,0.16,0.20
1507,Ålesund,60,0.15,0.20
1511,Vanylven,42,0.17,0.21
1514,Sande,33,0.16,0.19
1515,Herøy (Møre og Romsdal),53,0.16,0.22
1516,Ulstein,42,0.16,0.23
1517,Hareid,67,0.16,0.23
1520,Ørsta,47,0.16,0.24
1525,Stranda,52,0.15,0.20
1528,Sykkylven,40,0.16,0.23
1531,Sula,66,0.15,0.25
1532,Giske,64,0.15,0.25
1535,Vestnes,65,0.16,0.23
1539,Rauma,50,0.16,0.23
1547,Aukra,44,0.16,0.23
1554,Averøy,62,0.16,0.22
1557,Gjemnes,50,0.16,0.23
1560,Tingvoll,57,0.17,0.21
1563,Sunndal,67,0.17,0.23
1566,Surnadal,37,0.17,0.23
1573,Smøla,97,0.16,0.21
1576,Aure,53,0.17,0.21
1577,Volda,37,0.14,0.19
1578,Fjord,58,0.13,0.15
1579,Hustadvika,66,0.16,0.24
5001,Trondheim,58,0.16,0.18
5006,Steinkjer,58,0.30,0.21
5007,Namsos,60,0.25,0.18
5014,Frøya,60,0.32,0.12
5020,Osen,63,0.36,0.31
5021,Oppdal,55,0.18,0.16
5022,Rennebu,33,0.16,0.16
5025,Røros,43,0.16,0.16
5026,Holtålen,0,0.14,0.15
5027,Midtre Gauldal,49,0.22,0.14
5028,Melhus,52,0.18,0.17
5029,Skaun,48,0.17,0.19
5031,Malvik,55,0.19,0.17
5032,Selbu,42,0.16,0.16
5033,Tydal,0,0.38,0.28
5034,Meråker,61,0.17,0.15
5035,Stjørdal,58,0.42,0.26
5036,Frosta,53,0.18,0.15
5037,Levanger,52,0.42,0.26
5038,Verdal,55,0.16,0.18
5041,Snåase Snåsa,0,0.16,0.16
5042,Lierne,36,0.23,0.05
5043,Raarvihke Røyrvik,0,0.05,0.12
5044,Namsskogan,0,0.36,0.29
5045,Grong,60,0.17,0.15
5046,Høylandet,0,0.24,0.05
5047,Overhalla,58,0.18,0.17
5049,Flatanger,32,0.22,0.05
5052,Leka,82,0.34,0.31
5053,Inderøy,47,0.16,0.17
5054,Indre Fosen,54,0.17,0.16
5055,Heim,63,0.22,0.20
5056,Hitra,66,0.25,0.13
5057,Ørland,74,0.17,0.17
5058,Åfjord,79,0.26,0.23
5059,Orkland,59,0.19,0.13
5060,Nærøysund,61,0.18,0.17
5061,Rindal,0,0.14,0.17
1804,Bodø,59,0.11,0.19
1806,Narvik,66,0.16,0.18
1811,Bindal,47,0.10,0.18
1812,Sømna,71,0.19,0.18
1813,Brønnøy,65,0.19,0.19
1815,Vega,79,0.09,0.19
1816,Vevelstad,0,0.19,0.12
1818,Herøy (Nordland),78,0.08,0.25
1820,Alstahaug,70,0.18,0.18
1822,Leirfjord,84,0.18,0.19
1824,Vefsn,53,0.19,0.19
1825,Grane,43,0.09,0.20
1826,Hattfjelldal,0,0.09,0.19
1827,Dønna,81,0.09,0.19
1828,Nesna,51,0.09,0.23
1832,Hemnes,56,0.18,0.19
1833,Rana,65,0.11,0.17
1834,Lurøy,69,0.09,0.18
1835,Træna,0,0.20,0.13
1836,Rødøy,50,0.09,0.19
1837,Meløy,62,0.18,0.18
1838,Gildeskål,85,0.09,0.21
1839,Beiarn,0,0.10,0.18
1840,Saltdal,51,0.18,0.17
1841,Fauske Fuosko,76,0.19,0.18
1845,Sørfold,54,0.09,0.19
1848,Steigen,41,0.18,0.16
1851,Lødingen,64,0.18,0.15
1853,Evenes,0,0.09,0.20
1856,Røst,0,0.23,0.13
1857,Værøy,0,0.26,0.14
1859,Flakstad,74,0.09,0.18
1860,Vestvågøy,61,0.19,0.19
1865,Vågan,55,0.19,0.18
1866,Hadsel,57,0.19,0.18
1867,Bø,56,0.18,0.16
1868,Øksnes,82,0.19,0.17
1870,Sortland Suortá,61,0.19,0.20
1871,Andøy,51,0.18,0.17
1874,Moskenes,68,0.09,0.22
1875,Hamarøy Hábmer,54,0.09,0.21
5401,Tromsø,60,0.12,0.19
5402,Harstad Hárstták,48,0.11,0.18
5403,Alta,74,0.11,0.19
5404,Vardø,94,0.19,0.17
5405,Vadsø,70,0.18,0.18
5406,Hammerfest,88,0.20,0.16
5411,Kvæfjord,38,0.19,0.17
5412,Tjeldsund,52,0.14,0.16
5413,Ibestad,49,0.09,0.19
5414,Gratangen,42,0.09,0.21
5415,Loabák Lavangen,0,0.09,0.20
5416,Bardu,67,0.18,0.20
5417,Salangen,54,0.18,0.18
5418,Målselv,78,0.19,0.20
5419,Sørreisa,70,0.19,0.18
5420,Dyrøy,86,0.10,0.18
5421,Senja,69,0.18,0.17
5422,Balsfjord,85,0.19,0.18
5423,Karlsøy,93,0.19,0.16
5424,Lyngen,59,0.18,0.17
5425,Storfjord Omasvuotna Omasvuono,42,0.09,0.20
5426,Gáivuotna Kåfjord Kaivuono,73,0.18,0.17
5427,Skjervøy,34,0.19,0.18
5428,Nordreisa Ráisa Raisi,93,0.18,0.19
5429,Kvænangen,106,0.10,0.18
5430,Guovdageaidnu Kautokeino,71,0.19,0.20
5432,Loppa,123,0.21,0.13
5433,Hasvik,120,0.07,0.25
5434,Måsøy,108,0.08,0.23
5435,Nordkapp,110,0.19,0.17
5436,Porsanger Porsá?gu Porsanki,61,0.19,0.18
5437,Kárášjohka Karasjok,77,0.19,0.20
5438,Lebesby,83,0.08,0.24
5439,Gamvik,95,0.08,0.28
5440,Berlevåg,109,0.28,0.14
5441,Deatnu Tana,54,0.19,0.18
5442,Unjárga Nesseby,44,0.17,0.13
5443,Båtsfjord,103,0.18,0.15
5444,Sør-Varanger,75,0.19,0.18
